dog_id,class_id,completion_date,enrollment_status,notes_from_trainer
76,19,2021-10-05,Dropped,Discovered hidden talent: interpretive howling.
45,2,2022-04-05,Expelled for zoomie chaos,Faked injury to skip sit drills. Oscar-worthy.
56,3,2021-10-10,Enrolled,Struggles with stay—too many tail distractions.
13,17,2021-01-29,Enrolled,Has potential to be next Pupfluencer.
96,17,2024-08-23,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
16,9,2020-01-07,Expelled for zoomie chaos,Graduated summa bark laude from Treatology 101.
88,26,2022-03-19,Dropped,Takes zoomies very seriously. A+ for effort.
3,5,2020-10-20,Dropped,Excels at napping mid-class.
20,9,2024-01-31,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
69,11,2023-09-03,Dropped,Attempted to bribe trainer with kibble.
73,14,2025-01-22,Expelled for zoomie chaos,Attempted to bribe trainer with kibble.
47,4,2024-12-25,Completed,Still thinks ‘roll over’ means protest nap.
31,24,2022-10-15,Completed,Struggles with stay—too many tail distractions.
4,28,2024-05-17,Enrolled,Obsessed with mirror training. Can’t stop posing.
11,13,2025-03-22,Enrolled,Turns every command into a dance routine.
72,23,2025-10-29,Completed,Will only heel to jazz music.
14,1,2021-09-04,Enrolled,"Graduated, but only under protest (and treats)."
85,24,2020-03-06,Dropped,Accidentally led the class into a squirrel chase.
40,10,2024-04-23,Dropped,Refuses to sit unless dramatic music plays.
55,18,2025-12-29,Expelled for zoomie chaos,Still thinks ‘roll over’ means protest nap.
50,30,2022-03-23,Expelled for zoomie chaos,Will only heel to jazz music.
38,23,2022-05-05,Completed,Obsessed with mirror training. Can’t stop posing.
42,10,2020-11-30,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
62,14,2022-07-22,Enrolled,Attempted to bribe trainer with kibble.
8,20,2023-05-21,Dropped,Faked injury to skip sit drills. Oscar-worthy.
98,11,2020-01-24,Expelled for zoomie chaos,Accidentally led the class into a squirrel chase.
31,16,2024-06-07,Expelled for zoomie chaos,Accidentally led the class into a squirrel chase.
35,23,2023-04-29,Expelled for zoomie chaos,Will only heel to jazz music.
90,10,2020-09-06,Dropped,Attempted to bribe trainer with kibble.
43,2,2021-06-11,Enrolled,Attempted to bribe trainer with kibble.
53,28,2022-02-06,Completed,Tried to lead the class in a mutiny. Literally.
42,1,2021-12-16,Dropped,Has potential to be next Pupfluencer.
8,16,2021-04-26,Completed,Barked motivationally at peers. True leader.
11,24,2022-09-09,Expelled for zoomie chaos,Attempted to bribe trainer with kibble.
10,5,2024-06-02,Dropped,"Graduated, but only under protest (and treats)."
6,4,2023-03-30,Completed,Refuses to sit unless dramatic music plays.
41,22,2021-12-21,Enrolled,Barked motivationally at peers. True leader.
73,2,2023-06-04,Dropped,Refuses to sit unless dramatic music plays.
18,7,2023-08-26,Expelled for zoomie chaos,Discovered hidden talent: interpretive howling.
96,9,2022-09-19,Dropped,Refuses to sit unless dramatic music plays.
7,8,2022-12-28,Expelled for zoomie chaos,Takes zoomies very seriously. A+ for effort.
39,4,2022-02-05,Enrolled,Believes 'fetch' is beneath them. Diva energy.
76,21,2025-07-28,Expelled for zoomie chaos,Graduated summa bark laude from Treatology 101.
100,17,2022-06-02,Completed,Attempted to bribe trainer with kibble.
34,8,2022-06-28,Dropped,Excels at napping mid-class.
77,30,2023-02-28,Completed,Discovered hidden talent: interpretive howling.
94,23,2021-05-23,Enrolled,Discovered hidden talent: interpretive howling.
29,7,2020-03-28,Dropped,Attempted to bribe trainer with kibble.
84,17,2020-07-18,Enrolled,Has potential to be next Pupfluencer.
67,10,2023-05-04,Expelled for zoomie chaos,Attempted to bribe trainer with kibble.
